174	#d78787	215,135,135	0,50,68	LightPink3
175	#d787af	215,135,175	330,50,68	Pink3
176	#d787d7	215,135,215	300,50,68	Plum3
177	#d787ff	215,135,255	280,100,76	Violet
178	#d7af00	215,175,0	49,100,42	Gold3
179	#d7af5f	215,175,95	40,60,60	LightGoldenrod3
180	#d7af87	215,175,135	30,50,68	Tan
181	#d7afaf	215,175,175	0,33,76	MistyRose3
182	#d7afd7	215,175,215	300,33,76	Thistle3
183	#d7afff	215,175,255	270,100,84	Plum2
184	#d7d700	215,215,0	60,100,42	Yellow3
185	#d7d75f	215,215,95	60,60,60	Khaki3
186	#d7d787	215,215,135	60,50,68	LightGoldenrod2
187	#d7d7af	215,215,175	60,33,76	LightYellow3
188	#d7d7d7	215,215,215	0,0,84	Grey84
189	#d7d7ff	215,215,255	240,100,92	LightSteelBlue1
190	#d7ff00	215,255,0	69,100,50	Yellow2
191	#d7ff5f	215,255,95	75,100,68	DarkOliveGreen1
192	#d7ff87	215,255,135	80,100,76	DarkOliveGreen1
193	#d7ffaf	215,255,175	90,100,84	DarkSeaGreen1
194	#d7ffd7	215,255,215	120,100,92	Honeydew2
195	#d7ffff	215,255,255	180,100,92	LightCyan1
196	#ff0000	255,0,0	0,100,50	Red1
197	#ff005f	255,0,95	338,100,50	DeepPink2
198	#ff0087	255,0,135	328,100,50	DeepPink1
199	#ff00af	255,0,175	319,100,50	DeepPink1
200	#ff00d7	255,0,215	309,100,50	Magenta2
201	#ff00ff	255,0,255	300,100,50	Magenta1
202	#ff5f00	255,95,0	22,100,50	OrangeRed1
203	#ff5f5f	255,95,95	0,100,68	IndianRed1
204	#ff5f87	255,95,135	345,100,68	IndianRed1
205	#ff5faf	255,95,175	330,100,68	HotPink
206	#ff5fd7	255,95,215	315,100,68	HotPink
207	#ff5fff	255,95,255	300,100,68	MediumOrchid1
208	#ff8700	255,135,0	32,100,50	DarkOrange
209	#ff875f	255,135,95	15,100,68	Salmon1
210	#ff8787	255,135,135	0,100,76	LightCoral
211	#ff87af	255,135,175	340,100,76	PaleVioletRed1
212	#ff87d7	255,135,215	320,100,76	Orchid2
213	#ff87ff	255,135,255	300,100,76	Orchid1
