short,name,domain
ll,Language Learning,languagelearning.stackexchange.com
llm,Language Learning Meta,languagelearning.meta.stackexchange.com
rc,Retrocomputing,retrocomputing.stackexchange.com
rcm,Retrocomputing Meta,retrocomputing.meta.stackexchange.com
ac,Arts & Crafts,crafts.stackexchange.com
acm,Arts & Crafts Meta,crafts.meta.stackexchange.com
kr,Korean Language,korean.stackexchange.com
krm,Korean Language Meta,korean.meta.stackexchange.com
mo1,Monero,monero.stackexchange.com
mom1,Monero Meta,monero.meta.stackexchange.com
ai,Artificial Intelligence,ai.stackexchange.com
aim,Artificial Intelligence Meta,ai.meta.stackexchange.com
es,Esperanto Language,esperanto.stackexchange.com
esm,Esperanto Language Meta,esperanto.meta.stackexchange.com
sc,Sitecore,sitecore.stackexchange.com
scm,Sitecore Meta,sitecore.meta.stackexchange.com
iot,Internet of Things,iot.stackexchange.com
iotm,Internet of Things Meta,iot.meta.stackexchange.com
lit,Literature,literature.stackexchange.com
litm,Literature Meta,literature.meta.stackexchange.com
veg,Veganism & Vegetarianism,vegetarianism.stackexchange.com
vegm,Veganism & Vegetarianism Meta,vegetarianism.meta.stackexchange.com
ukr,Ukrainian Language,ukrainian.stackexchange.com
ukrm,Ukrainian Language Meta,ukrainian.meta.stackexchange.com
do,DevOps,devops.stackexchange.com
dom,DevOps Meta,devops.meta.stackexchange.com
bi,Bioinformatics,bioinformatics.stackexchange.com
bim,Bioinformatics Meta,bioinformatics.meta.stackexchange.com
cse,Computer Science Educators,cseducators.stackexchange.com
csem,Computer Science Educators Meta,cseducators.meta.stackexchange.com
ips,Interpersonal Skills,interpersonal.stackexchange.com
ipsm,Interpersonal Skills Meta,interpersonal.meta.stackexchange.com
iota,Iota,iota.stackexchange.com
iotam,Iota Meta,iota.meta.stackexchange.com
ste,Stellar,stellar.stackexchange.com
stem,Stellar Meta,stellar.meta.stackexchange.com
cl,Constructed Languages,conlang.stackexchange.com
clm,Constructed Languages Meta,conlang.meta.stackexchange.com
qc,Quantum Computing,quantumcomputing.stackexchange.com
qcm,Quantum Computing Meta,quantumcomputing.meta.stackexchange.com
eosio,EOS.IO,eosio.stackexchange.com
eosiom,EOS.IO Meta,eosio.meta.stackexchange.com
tez,Tezos,tezos.stackexchange.com
tezm,Tezos Meta,tezos.meta.stackexchange.com
or,Operations Research,or.stackexchange.com
orm,Operations Research Meta,or.meta.stackexchange.com
dm,Drones and Model Aircraft,drones.stackexchange.com
dmm,Drones and Model Aircraft Meta,drones.meta.stackexchange.com
mm,Matter Modeling,mattermodeling.stackexchange.com
mmm,Matter Modeling Meta,mattermodeling.meta.stackexchange.com
ca,Cardano,cardano.stackexchange.com
cam,Cardano Meta,cardano.meta.stackexchange.com
pa,Proof Assistants,proofassistants.stackexchange.com
pam,Proof Assistants Meta,proofassistants.meta.stackexchange.com
sp3,Substrate and Polkadot,substrate.stackexchange.com
spm3,Substrate and Polkadot Meta,substrate.meta.stackexchange.com
ba,Bioacoustics,bioacoustics.stackexchange.com
bam,Bioacoustics Meta,bioacoustics.meta.stackexchange.com
sol,Solana,solana.stackexchange.com
solm,Solana Meta,solana.meta.stackexchange.com
pl,Programming Language Design and Implementation,langdev.stackexchange.com
plm,Programming Language Design and Implementation Meta,langdev.meta.stackexchange.com
gen,GenAI,genai.stackexchange.com
genm,GenAI Meta,genai.meta.stackexchange.com
